,R1,R2,R3,R4,R5,R6,R7,R8,L1,L2,L3,L4,L5,Lawf1,Lawf2,Am,C2,C3,CT1(Lo1),CT1(M10),Mi1,Mi2,Mi3,Mi4,Mi9,Mi10,Mi11,Mi12,Mi13,Mi14,Mi15,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm3,Tm4,Tm5Y,Tm5a,Tm5b,Tm5c,Tm9,Tm16,Tm20,Tm28,Tm30,TmY3,TmY4,TmY5a,TmY9,TmY10,TmY13,TmY14,TmY15,TmY18
T5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.323679447174072,0.0,0.0,0.0,18.62723731994629,1.209302306175232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18.262849807739258,1.0,0.0
T5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2380952835083008,0.0,0.0,0.0,4.479342460632324,0.0,0.0,0.0,20.992839813232422,0.0,1.06521737575531,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066666603088379,3.924290180206299,0.0
T5c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2636852264404297,0.0,0.0,0.0,9.078994750976562,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.360713958740234,0.0,0.0,0.0,0.0,,7.901639461517334,0.0
T5d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.511472702026367,0.0,0.0,0.0,14.197489738464355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.98452377319336,0.0,0.0,0.0,0.0,0.0,1.8208955526351929,0.0
Tm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,8.666666030883789,0.0,0.0,1.125,,0.0,,14.15000057220459,0.0,,,0.0,0.0,1.1428571939468384,1.399999976158142,0.0,0.0,,1.100000023841858,17.155555725097656,32.208335876464844,0.0,0.0,0.0,0.0,20.761396408081055,18.56277847290039,16.1900691986084,18.94245719909668,0.0,,0.0,13.266666412353516,1.3333333730697632,0.0,0.0,0.0,,0.0,,11.991666793823242,0.0,0.0,19.86190414428711,0.0,6.666666507720947,0.0,0.0,0.0,4.949999809265137,0.0
Tm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,4.472222328186035,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.755706787109375,1.0,0.0,0.0,0.0,0.0,0.0,18.715444564819336,22.650209426879883,19.23200798034668,16.16988754272461,,0.0,0.0,3.60606050491333,0.0,0.0,0.0,0.0,,0.0,0.0,1.4444444179534912,0.0,18.514846801757812,1.0,0.0,0.0,0.0,2.6666665077209473,0.0,5.416666507720947,4.141414165496826
Tm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.123809337615967,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.283333778381348,0.0,0.0,14.366666793823242,1.0,5.333333492279053,25.29734230041504,12.764995574951172,13.435619354248047,9.852453231811523,0.0,0.0,0.0,0.0,0.0,0.0,7.032679557800293,1.137930989265442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.80555534362793,0.0,20.549602508544922,0.0,0.0,2.0,26.45962905883789,106.5333251953125,3.0512819290161133
Tm4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667461395264,0.0,0.0,7.083333492279053,0.0,0.0,0.0,0.0,0.0,4.260526180267334,0.0,,0.0,1.0,1.399999976158142,14.333333015441895,0.0,0.0,1.0,3.5,13.327777862548828,0.0,0.0,0.0,0.0,12.610258102416992,12.434782028198242,15.56407356262207,14.211111068725586,0.0,0.0,1.1724138259887695,2.211111068725586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.720237731933594,2.8333332538604736,29.251190185546875,0.0,0.0,1.6666666269302368,50.15656280517578,123.35000610351562,0.0
Tm5Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
Tm5a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6666665077209473,7.666666507720947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
